alligator
Banshee
bear
bird
camel
cat
Centaur
Changeling
chicken
chimpanzee
cow
crocodile
deer
dog
dolphin
Dragon
Druid
duck
Dwarf
eagle
elephant
Faerie
fish
fox
frog
Ghost
Ghoul
Giant
giraffe
Gnome
goat
Gremlin
Griffin
hamster
Hellhound
hippopotamus
horse
Hydra
kangaroo
kitten
Leprechan
Leviathan
lion
lobster
Manticore
Mermaid
Minotaur
monkey
Nymph
Orc
owl
panda
Phoenix
pig
puppy
rabbit
rat
Satyrs
seal
shark
sheep
snail
snake
Spectre
Sphinx
spider
Sprite
Sprite
squirrel
Succubus
tiger
Troll
turtle
Unicorn
Vampire
Warlock
Wherewolf
Wight
Witch
wolf
zebra
Zombie
